"collectionDate","count"
"2021-01-08",7280
"2021-01-09",6514
"2021-01-10",4893
"2021-01-11",14470
"2021-01-12",10160
"2021-01-13",8485
"2021-01-14",9222
"2021-01-15",9532
"2021-01-16",6837
"2021-01-17",5700
"2021-01-18",14783
"2021-01-19",11130
"2021-01-20",9124
"2021-01-21",8450
"2021-01-22",8380
"2021-01-23",5256
"2021-01-24",4620
"2021-01-25",14925
"2021-01-26",10706
"2021-01-27",10987
"2021-01-28",10619
"2021-01-29",10183
"2021-01-30",6939
"2021-01-31",5592
"2021-02-01",14658
"2021-02-02",11796
"2021-02-03",10539
"2021-02-04",9124
"2021-02-05",8232
"2021-02-06",5799
"2021-02-07",5245
"2021-02-08",15046
"2021-02-09",12046
"2021-02-10",11915
"2021-02-11",10716
"2021-02-12",10227
"2021-02-13",6297
"2021-02-14",5851
"2021-02-15",15658
"2021-02-16",12418
"2021-02-17",10785
"2021-02-18",10253
"2021-02-19",10208
"2021-02-20",6894
"2021-02-21",6586
"2021-02-22",16925
"2021-02-23",11824
"2021-02-24",12457
"2021-02-25",12772
"2021-02-26",11065
"2021-02-27",6935
"2021-02-28",6546
"2021-03-01",17824
"2021-03-02",14473
"2021-03-03",13916
"2021-03-04",12139
"2021-03-05",12066
"2021-03-06",7609
"2021-03-07",6718
"2021-03-08",19966
"2021-03-09",15560
"2021-03-10",15535
"2021-03-11",14432
"2021-03-12",14226
"2021-03-13",9422
"2021-03-14",8283
"2021-03-15",22288
"2021-03-16",18292
"2021-03-17",15095
"2021-03-18",15956
"2021-03-19",13408
"2021-03-20",10136
"2021-03-21",9905
"2021-03-22",23530
"2021-03-23",16775
"2021-03-24",16288
"2021-03-25",16528
"2021-03-26",15148
"2021-03-27",10342
"2021-03-28",8657
"2021-03-29",23212
"2021-03-30",18597
"2021-03-31",16806
"2021-04-01",16623
"2021-04-02",12933
"2021-04-03",10348
"2021-04-04",8776
"2021-04-05",19614
"2021-04-06",17326
"2021-04-07",17180
"2021-04-08",16775
"2021-04-09",16358
"2021-04-10",11869
"2021-04-11",9118
"2021-04-12",23824
"2021-04-13",19163
"2021-04-14",17197
"2021-04-15",16544
"2021-04-16",16372
"2021-04-17",10795
"2021-04-18",8279
"2021-04-19",22591
"2021-04-20",17845
"2021-04-21",16533
"2021-04-22",16346
"2021-04-23",15615
"2021-04-24",10201
"2021-04-25",8068
"2021-04-26",23168
"2021-04-27",18094
"2021-04-28",16232
"2021-04-29",15947
"2021-04-30",16474
"2021-05-01",9989
"2021-05-02",8227
"2021-05-03",24244
"2021-05-04",15602
"2021-05-05",15478
"2021-05-06",14517
"2021-05-07",14003
"2021-05-08",8834
"2021-05-09",6846
"2021-05-10",21327
"2021-05-11",14519
"2021-05-12",12973
"2021-05-13",10981
"2021-05-14",11285
"2021-05-15",7736
"2021-05-16",5943
"2021-05-17",19966
"2021-05-18",13407
"2021-05-19",12143
"2021-05-20",10686
"2021-05-21",10628
"2021-05-22",6243
"2021-05-23",4896
"2021-05-24",15550
"2021-05-25",11970
"2021-05-26",10847
"2021-05-27",9790
"2021-05-28",9292
"2021-05-29",6458
"2021-05-30",5644
"2021-05-31",12952
"2021-06-01",12294
"2021-06-02",10693
"2021-06-03",10306
"2021-06-04",10242
"2021-06-05",7759
"2021-06-06",6514
"2021-06-07",15416
"2021-06-08",11894
"2021-06-09",9952
"2021-06-10",8712
"2021-06-11",8182
"2021-06-12",4976
"2021-06-13",4093
"2021-06-14",10823
"2021-06-15",10223
"2021-06-16",10111
"2021-06-17",9065
"2021-06-18",9842
"2021-06-19",5613
"2021-06-20",5407
"2021-06-21",11987
"2021-06-22",12632
"2021-06-23",11699
"2021-06-24",10447
"2021-06-25",9146
"2021-06-26",8961
"2021-06-27",7867
"2021-06-28",14601
"2021-06-29",16126
"2021-06-30",13490
"2021-07-01",13696
"2021-07-02",12085
"2021-07-03",8663
"2021-07-04",9036
"2021-07-05",16498
"2021-07-06",16107
"2021-07-07",18193
"2021-07-08",15505
"2021-07-09",14919
"2021-07-10",10691
"2021-07-11",9852
"2021-07-12",19866
"2021-07-13",19438
"2021-07-14",17806
"2021-07-15",19424
"2021-07-16",21239
"2021-07-17",13803
"2021-07-18",11768
"2021-07-19",28222
"2021-07-20",28539
"2021-07-21",24407
"2021-07-22",24340
"2021-07-23",23149
"2021-07-24",18505
"2021-07-25",16598
"2021-07-26",30651
"2021-07-27",28678
"2021-07-28",28152
"2021-07-29",29288
"2021-07-30",27160
"2021-07-31",19401
"2021-08-01",17079
"2021-08-02",31697
"2021-08-03",32897
"2021-08-04",31522
"2021-08-05",31602
"2021-08-06",29329
"2021-08-07",23621
"2021-08-08",18803
"2021-08-09",31410
"2021-08-10",35018
"2021-08-11",27807
"2021-08-12",29557
"2021-08-13",26616
"2021-08-14",21556
"2021-08-15",19921
"2021-08-16",36964
"2021-08-17",38455
"2021-08-18",38409
"2021-08-19",35986
"2021-08-20",30643
"2021-08-21",21563
"2021-08-22",15952
"2021-08-23",34909
"2021-08-24",36543
"2021-08-25",30897
"2021-08-26",30531
"2021-08-27",29626
"2021-08-28",19820
"2021-08-29",16280
"2021-08-30",35213
"2021-08-31",38404
"2021-09-01",31838
"2021-09-02",31097
"2021-09-03",27912
"2021-09-04",18853
"2021-09-05",15210
"2021-09-06",26078
"2021-09-07",36404
"2021-09-08",32142
"2021-09-09",31292
"2021-09-10",29579
"2021-09-11",17882
"2021-09-12",16314
"2021-09-13",32869
"2021-09-14",28738
"2021-09-15",25159
"2021-09-16",25086
"2021-09-17",25186
"2021-09-18",15697
"2021-09-19",14863
"2021-09-20",29396
"2021-09-21",28309
"2021-09-22",20914
"2021-09-23",22697
"2021-09-24",23900
"2021-09-25",13333
"2021-09-26",13109
"2021-09-27",28920
"2021-09-28",26442
"2021-09-29",26512
"2021-09-30",23408
"2021-10-01",20949
"2021-10-02",14199
"2021-10-03",14255
"2021-10-04",28556
"2021-10-05",26722
"2021-10-06",23835
"2021-10-07",25086
"2021-10-08",21993
"2021-10-09",16326
"2021-10-10",14727
"2021-10-11",26091
"2021-10-12",26959
"2021-10-13",22133
"2021-10-14",23451
"2021-10-15",21474
"2021-10-16",14306
"2021-10-17",13284
"2021-10-18",28850
"2021-10-19",29025
"2021-10-20",24042
"2021-10-21",23855
"2021-10-22",23846
"2021-10-23",18380
"2021-10-24",15273
"2021-10-25",30331
"2021-10-26",28319
"2021-10-27",26909
"2021-10-28",26553
"2021-10-29",23470
"2021-10-30",17467
"2021-10-31",17299
"2021-11-01",26926
"2021-11-02",29756
"2021-11-03",31327
"2021-11-04",29113
"2021-11-05",27870
"2021-11-06",18946
"2021-11-07",18123
"2021-11-08",37344
"2021-11-09",32382
"2021-11-10",32014
"2021-11-11",26857
"2021-11-12",26424
"2021-11-13",20463
"2021-11-14",16516
"2021-11-15",36862
"2021-11-16",33974
"2021-11-17",30929
"2021-11-18",28681
"2021-11-19",25249
"2021-11-20",20904
"2021-11-21",19419
"2021-11-22",38921
"2021-11-23",30398
"2021-11-24",28187
"2021-11-25",20521
"2021-11-26",27363
"2021-11-27",19902
"2021-11-28",21464
"2021-11-29",49337
"2021-11-30",38549
"2021-12-01",35701
"2021-12-02",33658
"2021-12-03",31300
"2021-12-04",24938
"2021-12-05",22910
"2021-12-06",50197
"2021-12-07",38329
"2021-12-08",34489
"2021-12-09",31791
"2021-12-10",30363
"2021-12-11",21961
"2021-12-12",20683
"2021-12-13",43366
"2021-12-14",42105
"2021-12-15",40586
"2021-12-16",36055
"2021-12-17",33339
"2021-12-18",28392
"2021-12-19",22594
"2021-12-20",49274
"2021-12-21",43533
"2021-12-22",44237
"2021-12-23",38322
"2021-12-24",21776
"2021-12-25",13403
"2021-12-26",27383
"2021-12-27",60295
"2021-12-28",52462
"2021-12-29",54539
"2021-12-30",51983
"2021-12-31",30020
"2022-01-01",20423
"2022-01-02",36092
"2022-01-03",68771
"2022-01-04",66751
"2022-01-05",53369
"2022-01-06",48243
"2022-01-07",44664
"2022-01-08",30113
"2022-01-09",26244
"2022-01-10",61197
"2022-01-11",54761
"2022-01-12",48285
"2022-01-13",45659
"2022-01-14",44409
"2022-01-15",31163
"2022-01-16",27734
"2022-01-17",60038
"2022-01-18",58458
"2022-01-19",53901
"2022-01-20",45122
"2022-01-21",42709
"2022-01-22",29416
"2022-01-23",26904
"2022-01-24",58069
"2022-01-25",48155
"2022-01-26",41612
"2022-01-27",40519
"2022-01-28",33637
"2022-01-29",27085
"2022-01-30",27970
"2022-01-31",58356
"2022-02-01",44731
"2022-02-02",43833
"2022-02-03",42988
"2022-02-04",36888
"2022-02-05",27625
"2022-02-06",28176
"2022-02-07",55868
"2022-02-08",45047
"2022-02-09",38280
"2022-02-10",37468
"2022-02-11",34104
"2022-02-12",26816
"2022-02-13",23329
"2022-02-14",50707
"2022-02-15",39977
"2022-02-16",34431
"2022-02-17",35648
"2022-02-18",29910
"2022-02-19",22680
"2022-02-20",21077
"2022-02-21",46464
"2022-02-22",36536
"2022-02-23",30636
"2022-02-24",25729
"2022-02-25",22825
"2022-02-26",16842
"2022-02-27",15515
"2022-02-28",33786
"2022-03-01",26868
"2022-03-02",28390
"2022-03-03",27574
"2022-03-04",24611
"2022-03-05",19496
"2022-03-06",19985
"2022-03-07",44460
"2022-03-08",28120
"2022-03-09",32033
"2022-03-10",24919
"2022-03-11",22621
"2022-03-12",17749
"2022-03-13",20946
"2022-03-14",43301
"2022-03-15",29359
"2022-03-16",29748
"2022-03-17",28757
"2022-03-18",23485
"2022-03-19",20854
"2022-03-20",18255
"2022-03-21",39881
"2022-03-22",28706
"2022-03-23",26299
"2022-03-24",27168
"2022-03-25",24494
"2022-03-26",20580
"2022-03-27",18290
"2022-03-28",47315
"2022-03-29",24610
"2022-03-30",19100
"2022-03-31",17617
"2022-04-01",17225
"2022-04-02",12727
"2022-04-03",12304
"2022-04-04",33390
"2022-04-05",21138
"2022-04-06",19681
"2022-04-07",20496
"2022-04-08",17923
"2022-04-09",13103
"2022-04-10",13021
"2022-04-11",33469
"2022-04-12",20824
"2022-04-13",18761
"2022-04-14",16532
"2022-04-15",15907
"2022-04-16",12295
"2022-04-17",10019
"2022-04-18",19703
"2022-04-19",29388
"2022-04-20",20655
"2022-04-21",19108
"2022-04-22",18040
"2022-04-23",12458
"2022-04-24",11985
"2022-04-25",28331
"2022-04-26",19857
"2022-04-27",17497
"2022-04-28",14964
"2022-04-29",14022
"2022-04-30",10161
"2022-05-01",9955
"2022-05-02",24485
"2022-05-03",18410
"2022-05-04",15968
"2022-05-05",15925
"2022-05-06",15864
"2022-05-07",11063
"2022-05-08",10210
"2022-05-09",27810
"2022-05-10",18283
"2022-05-11",16776
"2022-05-12",16783
"2022-05-13",15288
"2022-05-14",10609
"2022-05-15",9885
"2022-05-16",24515
"2022-05-17",17816
"2022-05-18",16222
"2022-05-19",14274
"2022-05-20",14284
"2022-05-21",9582
"2022-05-22",9656
"2022-05-23",22849
"2022-05-24",17648
"2022-05-25",15954
"2022-05-26",11950
"2022-05-27",13690
"2022-05-28",8672
"2022-05-29",9033
"2022-05-30",17784
"2022-05-31",20027
"2022-06-01",17293
"2022-06-02",15617
"2022-06-03",13823
"2022-06-04",9422
"2022-06-05",9099
"2022-06-06",19346
"2022-06-07",24988
"2022-06-08",17850
"2022-06-09",17036
"2022-06-10",15344
"2022-06-11",10117
"2022-06-12",10021
"2022-06-13",25493
"2022-06-14",18711
"2022-06-15",19724
"2022-06-16",16351
"2022-06-17",15900
"2022-06-18",10793
"2022-06-19",9393
"2022-06-20",28073
"2022-06-21",22274
"2022-06-22",20503
"2022-06-23",18648
"2022-06-24",16556
"2022-06-25",11170
"2022-06-26",11328
"2022-06-27",32347
"2022-06-28",22948
"2022-06-29",20537
"2022-06-30",20125
"2022-07-01",18924
"2022-07-02",13069
"2022-07-03",12193
"2022-07-04",25047
"2022-07-05",28957
"2022-07-06",22744
"2022-07-07",20961
"2022-07-08",20174
"2022-07-09",13355
"2022-07-10",12877
"2022-07-11",33123
"2022-07-12",24695
"2022-07-13",21846
"2022-07-14",20603
"2022-07-15",19377
"2022-07-16",13907
"2022-07-17",12749
"2022-07-18",29076
"2022-07-19",26538
"2022-07-20",20351
"2022-07-21",18962
"2022-07-22",18464
"2022-07-23",11404
"2022-07-24",11075
"2022-07-25",27616
"2022-07-26",20415
"2022-07-27",17244
"2022-07-28",16300
"2022-07-29",15202
"2022-07-30",11098
"2022-07-31",10288
"2022-08-01",26323
"2022-08-02",20037
"2022-08-03",15791
"2022-08-04",15058
"2022-08-05",13993
"2022-08-06",8808
"2022-08-07",8431
"2022-08-08",21552
"2022-08-09",16269
"2022-08-10",14442
"2022-08-11",13617
"2022-08-12",13411
"2022-08-13",8970
"2022-08-14",8726
"2022-08-15",18025
"2022-08-16",18782
"2022-08-17",13837
"2022-08-18",13734
"2022-08-19",12882
"2022-08-20",8355
"2022-08-21",8360
"2022-08-22",20347
"2022-08-23",14831
"2022-08-24",11825
"2022-08-25",11564
"2022-08-26",12046
"2022-08-27",8892
"2022-08-28",7834
"2022-08-29",19394
"2022-08-30",13890
"2022-08-31",10814
"2022-09-01",11332
"2022-09-02",10153
"2022-09-03",7650
"2022-09-04",7819
"2022-09-05",14165
"2022-09-06",15885
"2022-09-07",11922
"2022-09-08",10314
"2022-09-09",9527
"2022-09-10",7865
"2022-09-11",6636
"2022-09-12",19327
"2022-09-13",13965
"2022-09-14",11229
"2022-09-15",11333
"2022-09-16",10715
"2022-09-17",6824
"2022-09-18",6792
"2022-09-19",17718
"2022-09-20",13444
"2022-09-21",12037
"2022-09-22",10618
"2022-09-23",9705
"2022-09-24",6568
"2022-09-25",6536
"2022-09-26",18295
"2022-09-27",12885
"2022-09-28",9944
"2022-09-29",9620
"2022-09-30",8613
"2022-10-01",6236
"2022-10-02",6127
"2022-10-03",16743
"2022-10-04",13525
"2022-10-05",10461
"2022-10-06",10140
"2022-10-07",9756
"2022-10-08",6167
"2022-10-09",6010
"2022-10-10",17243
"2022-10-11",13430
"2022-10-12",10883
"2022-10-13",10624
"2022-10-14",10016
"2022-10-15",6386
"2022-10-16",5820
"2022-10-17",17446
"2022-10-18",11813
"2022-10-19",10258
"2022-10-20",9211
"2022-10-21",8668
"2022-10-22",5702
"2022-10-23",5903
"2022-10-24",16673
"2022-10-25",12102
"2022-10-26",10914
"2022-10-27",9382
"2022-10-28",8756
"2022-10-29",5679
"2022-10-30",5593
"2022-10-31",12862
"2022-11-01",11091
"2022-11-02",10497
"2022-11-03",9043
"2022-11-04",9806
"2022-11-05",6021
"2022-11-06",6202
"2022-11-07",16203
"2022-11-08",13043
"2022-11-09",10524
"2022-11-10",10526
"2022-11-11",9441
"2022-11-12",6453
"2022-11-13",6200
"2022-11-14",15900
"2022-11-15",11708
"2022-11-16",11453
"2022-11-17",11044
"2022-11-18",9973
"2022-11-19",5867
"2022-11-20",5990
"2022-11-21",17788
"2022-11-22",12701
"2022-11-23",10902
"2022-11-24",9033
"2022-11-25",10787
"2022-11-26",7475
"2022-11-27",7864
"2022-11-28",21367
"2022-11-29",14485
"2022-11-30",13019
"2022-12-01",12990
"2022-12-02",12503
"2022-12-03",7057
"2022-12-04",6195
"2022-12-05",21782
"2022-12-06",14340
"2022-12-07",13683
"2022-12-08",12478
"2022-12-09",11514
"2022-12-10",7488
"2022-12-11",7028
"2022-12-12",21875
"2022-12-13",14948
"2022-12-14",13082
"2022-12-15",12493
"2022-12-16",11514
"2022-12-17",7936
"2022-12-18",7026
"2022-12-19",21276
"2022-12-20",13373
"2022-12-21",12351
"2022-12-22",11524
"2022-12-23",9778
"2022-12-24",5266
"2022-12-25",3838
"2022-12-26",13547
"2022-12-27",13243
"2022-12-28",13220
"2022-12-29",11376
"2022-12-30",9817
"2022-12-31",5907
"2023-01-01",4755
"2023-01-02",13561
"2023-01-03",12580
"2023-01-04",12427
"2023-01-05",10927
"2023-01-06",9360
"2023-01-07",5934
"2023-01-08",5003
"2023-01-09",12803
"2023-01-10",10857
"2023-01-11",9412
"2023-01-12",8178
"2023-01-13",7720
"2023-01-14",4702
"2023-01-15",4190
"2023-01-16",11207
"2023-01-17",8947
"2023-01-18",8249
"2023-01-19",6856
"2023-01-20",6068
"2023-01-21",3943
"2023-01-22",3714
"2023-01-23",10800
"2023-01-24",7665
"2023-01-25",7224
"2023-01-26",6517
"2023-01-27",6124
"2023-01-28",4291
"2023-01-29",3835
"2023-01-30",10841
"2023-01-31",7852
"2023-02-01",7434
"2023-02-02",6766
"2023-02-03",6337
"2023-02-04",3829
"2023-02-05",3973
"2023-02-06",10864
"2023-02-07",8027
"2023-02-08",7445
"2023-02-09",6973
"2023-02-10",6165
"2023-02-11",3888
"2023-02-12",4150
"2023-02-13",10607
"2023-02-14",7786
"2023-02-15",7418
"2023-02-16",7272
"2023-02-17",6044
"2023-02-18",4020
"2023-02-19",3813
"2023-02-20",9725
"2023-02-21",8419
"2023-02-22",7162
"2023-02-23",6446
"2023-02-24",5587
"2023-02-25",3680
"2023-02-26",3545
"2023-02-27",9715
"2023-02-28",7936
"2023-03-01",7358
"2023-03-02",5877
"2023-03-03",5527
"2023-03-04",3745
"2023-03-05",3715
"2023-03-06",9792
"2023-03-07",7187
"2023-03-08",6856
"2023-03-09",5953
"2023-03-10",5407
"2023-03-11",3424
"2023-03-12",3351
"2023-03-13",9361
"2023-03-14",7138
"2023-03-15",6644
"2023-03-16",6093
"2023-03-17",5069
"2023-03-18",3187
"2023-03-19",3176
"2023-03-20",9170
"2023-03-21",6748
"2023-03-22",6127
"2023-03-23",5561
"2023-03-24",4779
"2023-03-25",3361
"2023-03-26",3072
"2023-03-27",8395
"2023-03-28",5776
"2023-03-29",5439
"2023-03-30",4765
"2023-03-31",4225
"2023-04-01",3141
"2023-04-02",2901
"2023-04-03",7233
"2023-04-04",5419
"2023-04-05",4888
"2023-04-06",3890
"2023-04-07",3011
"2023-04-08",2775
"2023-04-09",2429
"2023-04-10",5216
"2023-04-11",6580
"2023-04-12",5171
"2023-04-13",4443
"2023-04-14",4093
"2023-04-15",2694
"2023-04-16",2447
"2023-04-17",6882
"2023-04-18",4370
"2023-04-19",4590
"2023-04-20",4114
"2023-04-21",3709
"2023-04-22",2408
"2023-04-23",2341
"2023-04-24",6230
"2023-04-25",4595
"2023-04-26",4713
"2023-04-27",3897
"2023-04-28",3809
"2023-04-29",2257
"2023-04-30",1997
"2023-05-01",4140
"2023-05-02",5698
"2023-05-03",4187
"2023-05-04",4256
"2023-05-05",3149
"2023-05-06",2422
"2023-05-07",1991
"2023-05-08",4173
"2023-05-09",4206
"2023-05-10",4164
"2023-05-11",3394
"2023-05-12",2890
"2023-05-13",2078
"2023-05-14",1962
"2023-05-15",4671
"2023-05-16",3683
"2023-05-17",3401
"2023-05-18",2831
"2023-05-19",2577
"2023-05-20",1945
"2023-05-21",1906
"2023-05-22",4605
"2023-05-23",3547
"2023-05-24",3049
"2023-05-25",3025
"2023-05-26",2418
"2023-05-27",1634
"2023-05-28",1588
"2023-05-29",3124
"2023-05-30",3599
"2023-05-31",2906
"2023-06-01",2637
"2023-06-02",2176
"2023-06-03",1694
"2023-06-04",1420
"2023-06-05",3399
"2023-06-06",2699
"2023-06-07",2520
"2023-06-08",2294
"2023-06-09",1925
"2023-06-10",1393
"2023-06-11",1275
"2023-06-12",2940
"2023-06-13",2567
"2023-06-14",2375
"2023-06-15",2229
"2023-06-16",1876
"2023-06-17",1134
"2023-06-18",1146
"2023-06-19",2572
"2023-06-20",2216
"2023-06-21",1963
"2023-06-22",2023
"2023-06-23",1676
"2023-06-24",1010
"2023-06-25",1030
"2023-06-26",2540
"2023-06-27",2038
"2023-06-28",1808
"2023-06-29",1590
"2023-06-30",1514
